Its content has classic and tragic dimensions beyond politics.	This film has received a lot of praise from critics, but not that many people will find this that entertaining.	Both a how-to manual for guerrilla terrorism and a cautionary tale about how to fight it. It's also quite possibly the finest war film ever made.	The price of invasion has never been more poignantly spelled out than in this classic film.	'The Battle of Algiers' serves potent warning to those who envision warfare, or any Western-dictated settlement, in areas so hungry and so foreign.	A powerful, documentary-like examination of the response to an occupying force, The Battle of Algiers hasn't aged a bit since its release in 1966.
Neither a great night out nor a great night in.	A sanitized Boogie Nights.	I don't get that lifestyle, but I was hoping that 54 would show me why so many people find that appealing. It was not to be.	The new disco era film 54 is Fame on drugs, a low-grade Saturday Night Fever.	An entertaining reminder of how facile the disco era really was...	Poor plot development and slow pacing keep 54 from capturing the energy of it's legendary namesake.
While the story is more oddly archaic than ever, we might find ourselves exiting the movie with the overwhelming desire to kick off our own Sunday shoes.	A lively and rambunctious remake of the 1984 classic about a rebel with a cause who loves to dance.	Not even a rather obvious lack of interest in the adult actors amongst can stop Footloose from finally becoming the film that 1980s nostalgia would have us assume the original is.	There's at least one very compelling reason to see it: Brewer understands how to do music on film better than anyone else working today.	It's as if Brewer is taking a stand for movies that look like movies instead of audience hipness barometers.	While it hews closely to the 1984 original, Craig Brewer infuses his Footloose remake with toe-tapping energy and manages to keep the story fresh for a new generation.
Sex & a very singular man	A beautifully touching true story that never feels like the typical biopic since it finds a way of instilling humor and charm into a delicate and often tragic situation.	A movie about sex that shows a whole lot of sex, but isn't sex-obsessed. The Sessions grabs you in the heart rather than the loins.	Ben Lewin's The Sessions is an emotionally charged film with a smart sense of humor that'll have you tearing up from equal doses of laughter and drama.	O'Brien was the subject of an Oscar-winning short "Breathing Lessons," and it seems likely that "The Sessions" will receive a few nominations of its own. It deserves them.	Tender, funny, and touching, The Sessions provides an acting showcase for its talented stars and proves it's possible for Hollywood to produce a grown-up movie about sex.
Patrice Chereau's portrait of a marriage en crise is an excoriating look at the deep unhappiness that can fester within the most respectable-seeming of households.	Both protagonists give elegant and moving performances.	Most of all, we think, 'Gosh, all of these experiments make for a cold, uninvolving film.'	Based on a short story by Joseph Conrad, here is stylized rendition of a foundering marriage of convenience.	One of the film's savage ironies is that his wife's inevitable betrayal strikes less at his heart than at his all-consuming sense of order.	Patrice Chéreau's exquisite rendering of Joseph Conrad's The Return brings underlying passions to surface in a long-suffering marriage.
I have never been quite sure why this $30 million comedy made by John Landis in 1980 became such a cult.	I am never not amused by the Blues Brothers.	Big, loud, often obnoxious, but surprisingly sweet-tempered.	lightning in a bottle created more than 30 years ago	The story is thin, but there's a consistently wonderful over-the-top mentality.	Too over the top for its own good, but ultimately rescued by the cast's charm, director John Landis' grace, and several soul-stirring musical numbers.
Ghostbusters is primarily a showcase for Murray, who slinks through the movie muttering his lines in his usual cheeky fashion and getting off an occasionally hilarious crack that proves he's thoroughly enjoying himself.	See website for more details.	I had a good giggle watching Ghostbusters again, and I recommend checking it out for an evening of turn-your-brain-off entertainment.	Only intermittently impressive.	There is more attention to special effects than to humor.	An infectiously fun blend of special effects and comedy, with Bill Murray's hilarious deadpan performance leading a cast of great comic turns.
The movie is taut with suspense but culminates in wise resignation as the hero comes to understand he's running from a part of himself.	Boy A is one of those rare movies that takes the idea of rehabilitation seriously. In the end, it may present a worst-case scenario, but it does so with unusual depth and conviction.	Andrew Garfield nailed an assignment many actors would avoid or, worse, botch in "Boy A" - embody a grown, traumatized man experiencing emotional honesty, transparent kindness, sexual intimacy and genuine appreciation from others for the first time.	Lovingly photographed, achingly romantic and memorably acted by Garfield in a breakout role, it's a small movie worthy of a large audience.	Boy A is so excessively mannered that the story's human element (misunderstood youth, society's indifference) is lost.	Small in scale but large in impact, Boy A's career making performances (particularly that by star Andrew Garfield) and carefully crafted characters defy judgment and aggressively provoke debate.
The movie plays every joke down the middle, aiming its dim wit at 5-and-unders, insulting them and whoever was foolish enough to take them on the outing.	The cast shuffles its way through an unending parade of eye-wrenching CGI displays, their collective body language asking the producers for their Part 2 paycheck already.	It's guileless, designed almost to be forgotten, and its modest intentions generate no resentment [in the viewer].	Scooby-Doo 2: Monsters Unleashed is actually a lot closer to the cartoons than the first... movie was, [but] they are really stupid cartoons.	Scooby e Salsicha continuam divertidos, mas, em vez de temerem os monstros que enfrentam, deveriam fugir do medíocre diretor Raja Gosnell.	Only the very young will get the most out of this silly trifle.
What Megamind lacks in apparent laughter it makes up for in sheer cleverness.	Unfortunately, the underdeveloped story and characters seem to be there to service the visuals, rather than the other way around.	Full of fun and eye-popping images, "Megamind" is what they used to call in the old days of television "side-splittingly funny."	"Megamind" is a genial animated sendup of superhero flicks that should appeal to kids around the age when they're getting a bit cynical about do-gooders in capes and tights.	Three dimensions or two, the one-dimensional plot has little appeal.	It regurgitates plot points from earlier animated efforts, and isn't quite as funny as it should be, but a top-shelf voice cast and strong visuals help make Megamind a pleasant, if unspectacular, diversion.
[Bud Cort and Ruth Gordon] both are so aggressive, so creepy and off-putting.	A doggedly eccentric film which some will reject out of hand. Others will find it profundly moving and life affirming.	A classic of dark comedy.	A whimsical love story; Cort is cuddly, Gordon is larger-than-life. An enchanting piece.	This darkly humorous ,romantic comedy between an introvert adolescent and and old spunky woman, is playing it too safe to be considered truly anti-establishment, but it became a cult picture.	Hal Ashby's comedy is too dark and twisted for some, and occasionally oversteps its bounds, but there's no denying the film's warm humor and big heart.
